어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
외광,단어,한자어,畏光,"한자 畏光
","「명사」
","밝은 빛을 보기 싫어하는 눈병. 불빛을 받으면 눈이 깔깔하고 아프면서 눈을 잘 뜨지 못한다.
"
외광선,단어,한자어,外光線,"한자 外光線
","「명사」
","옥외(屋外)의 태양 광선.
"
외광파,단어,한자어,外光派,"한자 外光派
","「명사」
","「1」자연 광선에 의한 회화적 효과를 표현하기 위하여 야외에서 그리는 화파를 통틀어 이르는 말. 바르비종파, 인상파 따위가 있다.
「2」19세기 후반 프랑스에서 활동한 인상주의를 신봉한 유파. 표현 대상의 고유한 색채보다 그 색조를 분할하여 외광(外光)의 효과를 주로 하여 원색의 강렬한 색감으로 표출하였다.
"
외교,단어,한자어,外交,"한자 外交
","「명사」
","「1」다른 나라와 정치적, 경제적, 문화적 관계를 맺는 일.
「2」외부와의 교제나 교섭.
"
외교가,단어,한자어,外交家,"한자 外交家
","「명사」
","「1」외교를 직업으로 하는 사람.
「2」사교, 교섭 따위에 능란한 사람.
"
외교계,단어,한자어,外交界,"한자 外交界
","「명사」
","외교에 관련된 실무에 종사하는 사람들의 활동 분야. 외교관이나 외교 사절의 부인도 포함된다.
"
외교관,단어,한자어,外交官,"한자 外交官
","「명사」
","외국에 주재하며 자기 나라를 대표하여 외교 사무에 종사하는 관직. 또는 그 관직에 종사하는 사람. 대사(大使), 공사(公使), 총영사, 부영사, 영사 및 그에 딸린 참사관, 서기관을 통틀어 이른다.
"
외교권,단어,한자어,外交權,"한자 外交權
","「명사」
","국제법에서, 주권 국가로서 외국과 외교를 할 수 있는 권리.
"
외교내치,단어,한자어,外交內治,"한자 外交內治
","「명사」
","안으로 나라를 다스리는 일과 밖으로 다른 나라와 외교를 맺는 일.
"
외교단,단어,한자어,外交團,"한자 外交團
","「명사」
","한 나라에 주재하는 여러 나라의 외교 사절을 통틀어 이르는 말.
"
외교부,단어,한자어,外交部,"한자 外交部
","「명사」
","중앙 행정 기관의 하나. 외교 정책, 경제 협력, 조약, 기타 국제 협정, 재외 국민의 보호·지원 따위에 관한 사무를 맡아본다. 2013년 3월 외교 통상부에서 이 이름으로 바뀌었다.
"
