어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
형기(02),단어,한자어,刑器,"한자 刑器
","「명사」
","형벌을 가하거나 고문을 하는 데에 쓰는 여러 가지 기구.
"
형기(03),단어,한자어,形氣,"한자 形氣
","「명사」
","겉으로 보이는 형상과 기운.
"
형기(04),단어,한자어,衡器,"한자 衡器
","「명사」
","「1」길이, 부피, 무게 따위를 재는 자, 되, 저울 따위의 기구.
「2」물건의 무게를 다는 기구. 곡물, 쇠붙이 따위를 다는 대칭과 솜 따위를 다는 중칭, 금·은·약제 따위를 다는 소칭이 있다.
"
형기무형,단어,한자어,刑期無刑,"한자 刑期無刑
","「명사」
","형벌의 목적은 형벌이 없게 하는 것임.
"
형남,단어,한자어,荊南,"한자 荊南
","「명사」
","중국에서, 925년에 고계흥(高季興)이 장링(江陵)에 도읍하여 세운 나라. 963년에 송나라에 망하였다.
"
형노,단어,한자어,刑奴,"한자 刑奴
","「명사」
","궁방(宮房) 따위에서, 하인배에게 형벌 가하는 일을 맡아 하던 하인.
"
형-님,단어,혼종어,兄님,"한자 兄
고유어 님
","「명사」
","「1」‘형01[Ⅰ]「1」’의 높임말.
「2」‘형01[Ⅰ]「2」’의 높임말.
「3」아내의 오빠를 이르거나 부르는 말.
「4」손위 시누이를 이르거나 부르는 말.
「5」손위 동서를 이르거나 부르는 말.
「6」나이가 든 친한 여자들 사이에서 나이가 적은 사람이 나이가 많은 사람을 이르거나 부르는 말.
"
형단,단어,한자어,刑斷,"한자 刑斷
","「명사」
","죄인을 재판함.
"
형단영척,단어,한자어,形單影隻,"한자 形單影隻
","「명사」
","형체가 하나이므로 그림자도 하나라는 뜻으로, 의지할 곳도 도움을 받을 곳도 없이 몹시 외롭고 고독한 처지를 이르는 말.
"
형-단조,단어,한자어,型鍛造,"한자 型鍛造
","「명사」
","금형 따위의 일정한 틀에다 대고 하는 단조 작업.
"
형단조-품,단어,한자어,型鍛造品,"한자 型鍛造品
","「명사」
","금속 소재를 가열하여 형(型)에 넣고 망치로 때리거나 압박하여 만든 제품.
"
형단조^프레스,구,혼종어,型鍛造press,"한자 型鍛造
영어 press
","「품사 없음」
","금속 소재를 눌러서 변형함으로써 여러 가지 모양의 제품을 만드는 기계.
"
형단-하다,단어,혼종어,刑斷하다,"한자 刑斷
고유어 하다
","「동사」
","죄인을 재판하다.
"
형대,단어,한자어,刑臺,"한자 刑臺
","「명사」
","형을 집행하기 위하여 만든 대.
"
형덕,단어,한자어,刑德,"한자 刑德
","「명사」
","「1」형벌과 덕화를 아울러 이르는 말.
「2」형벌과 은상(恩賞)을 아울러 이르는 말.
「3」오행의 상생과 상극.
「4」음과 양의 성질. 형을 음, 덕을 양으로 본다.
「5」십이진과 십일(十日)을 아울러 이르는 말. ≪회남자≫에서 십이진을 형(刑)이라고 하고 십일을 덕(德)이라 한 데서 나온 말이다.
"
형도(01),단어,한자어,刑徒,"한자 刑徒
","「명사」
","형벌을 받는 무리.
"
형도(02),단어,한자어,衡度,"한자 衡度
","「명사」
","저울과 자를 아울러 이르는 말.
"
형독,단어,한자어,刑毒,"한자 刑毒
","「명사」
","형벌을 받은 후유증으로 생기는 병.
"
형랍,단어,한자어,型蠟,"한자 型蠟
","「명사」
","조각을 할 때에, 먼저 그 형상을 본뜨는 데에 쓰는 밀랍·백랍·송진 따위의 재료.
"
형랑,단어,한자어,兄郞,"한자 兄郞
","「명사」
","언니의 남편을 이르는 말.
"
형량,단어,한자어,刑量,"한자 刑量
","「명사」
","죄인에게 내리는 형벌의 정도. 보통 죄인이 복역해야 할 기간을 이른다.
"
형례,단어,한자어,刑例,"한자 刑例
","「명사」
","형벌에 관한 규정.
"
형로,단어,한자어,荊路,"한자 荊路
","「명사」
","가시덤불이 우거진 길.
"
형론,단어,한자어,刑論,"한자 刑論
","「명사」
","형벌에 관한 이론.
"
형륙,단어,한자어,刑戮,"한자 刑戮
","「명사」
","죄지은 사람을 형법에 따라 죽임.
"
형륙-되다,단어,혼종어,刑戮되다,"한자 刑戮
고유어 되다
","「동사」
","죄지은 사람이 형법에 따라 죽임을 당하다.
"
형륙-하다,단어,혼종어,刑戮하다,"한자 刑戮
고유어 하다
","「동사」
","죄지은 사람을 형법에 따라 죽이다.
"
형률,단어,한자어,刑律,"한자 刑律
","「명사」
","범죄와 형벌에 관한 법률 체계. 어떤 행위가 처벌되고 그 처벌은 어느 정도이며 어떤 종류의 것인가를 규정한다.
"
형리,단어,한자어,刑吏,"한자 刑吏
","「명사」
","지방 관아의 형방에 속한 구실아치.
"
형만 한 아우 없다,속담,,,,"「구」
","모든 일에 있어 아우가 형만 못하다는 말.
"
형망,단어,한자어,刑網,"한자 刑網
","「명사」
","법의 그물이라는 뜻으로, 죄를 지은 사람에게 제재를 할 수 있는 법률이나 그 집행 기관을 비유적으로 이르는 말.
"
형망제급,단어,한자어,兄亡弟及,"한자 兄亡弟及
","「명사」
","형이 아들 없이 죽었을 때에, 동생이 형 대신 그 가통을 이음.
"
형명(01),단어,한자어,刑名,"한자 刑名
","「명사」
","「1」형벌의 이름. 사형, 징역, 금고, 구류, 과료, 벌금 따위이다.
「2」예전에 중국에서, 명칭과 그 실상이 부합하는지 여부를 따지는 명실론(名實論)을 법의 적용에 응용하려던 법률학.
"
형명(02),단어,한자어,形名,"한자 形名
","「명사」
","군영에서 깃발과 북으로 군사의 교련을 지휘하던 법.
"
형명-가,단어,한자어,刑名家,"한자 刑名家
","「명사」
","법으로 나라를 다스려야 한다고 주장하는 사람.
"
형명-법술,단어,한자어,刑名法術,"한자 刑名法術
","「명사」
","법으로써 나라를 다스리는 방법과 기술.
"
형명-학,단어,한자어,刑名學,"한자 刑名學
","「명사」
","법으로 나라를 다스려야 한다는 학문. 중국 전국 시대에 신불해(申不害), 상앙(商鞅), 한비자 등이 제창하였다.
"
형모,단어,한자어,形貌,"한자 形貌
","「명사」
","「1」생긴 모양.
「2」사람의 얼굴 모양.
"
형무,단어,한자어,刑務,"한자 刑務
","「명사」
","행형(行刑)에 관한 사무나 업무.
"
형무-관,단어,한자어,刑務官,"한자 刑務官
","「명사」
","‘교도관01’의 전 용어.
"
형무관^학교,구,한자어,刑務官學校,"한자 刑務官學校
","「품사 없음」
","‘교도관 학교’의 전 용어.
"
형무-소,단어,한자어,刑務所,"한자 刑務所
","「명사」
","‘교도소’의 전 용어.
"
형문(01),단어,한자어,刑問,"한자 刑問
","「명사」
","「1」형장(刑杖)으로 죄인의 정강이를 때리던 형벌.
「2」죄인의 정강이를 때리며 캐묻던 일.
"
형문(02),단어,한자어,荊門,"한자 荊門
","「명사」
","가시나무로 만든 문.
"
형문(03),단어,한자어,衡門,"한자 衡門
","「명사」
","「1」두 기둥에다 한 개의 가로 막대를 질러 만든 허술한 대문.
「2」은자(隱者)가 사는 곳을 비유적으로 이르는 말.
"
형문-하다,단어,혼종어,刑問하다,"한자 刑問
고유어 하다
","「동사」
","죄인의 정강이를 때리며 캐묻다.
"
형물,단어,한자어,形物,"한자 形物
","「명사」
","「1」형체가 있는 물건.
「2」‘사리07’를 달리 이르는 말.
"
형 미칠 아우 없고 아비 미칠 아들 없다,속담,,,,"「구」
","아우가 아무리 잘났어도 형만 못하고 아들이 아무리 잘났어도 아비만 못하다는 말.
"
형민,단어,한자어,刑民,"한자 刑民
","「명사」
","형벌을 받은 백성.
"
